date,balance
2026-02-26,29285.18
2026-02-27,29397.65
2026-03-02,29428.97
2026-03-03,28725.21
2026-03-04,28751.25
2026-03-05,28609.05
2026-03-06,28497.39
2026-03-09,28562.58
2026-03-10,28732.07
2026-03-11,28727.25
2026-03-12,28631.08
2026-03-13,28492.56
2026-03-16,28601.97
2026-03-17,28645.33
2026-03-18,28654.95
2026-03-19,28756.24
2026-03-20,28535.51
2026-03-23,28801.98
2026-03-25,28977.87
2026-03-26,28777.29
2026-03-27,28713.73
2026-03-30,28697.10
2026-03-31,29013.15
2026-04-01,29221.95
2026-04-02,29269.11
2026-04-06,29245.21
2026-04-07,29315.45
2026-04-08,29506.90
2026-04-09,29572.63
2026-04-10,29495.72
2026-04-13,29565.58
2026-04-14,29712.18
2026-04-15,29607.66
2026-04-16,29480.01
2026-04-17,29824.48
2026-04-20,29797.46
2026-04-21,29565.20
2026-04-23,29653.17
2026-04-24,29608.95
2026-04-27,29535.93
2026-04-28,29430.04
2026-04-29,29309.35
2026-04-30,29929.73
2026-05-01,29891.83
2026-05-04,29692.25
2026-05-05,29990.34
2026-05-06,30408.97
2026-05-08,30092.88
2026-05-11,30028.99
2026-05-12,30120.14
2026-05-13,30091.53
2026-05-14,30171.94
2026-05-15,29961.31
2026-05-18,30049.32
2026-05-19,30021.25
2026-05-20,30096.59
2026-05-21,30182.52
2026-05-22,30289.84
2026-05-26,30430.91
2026-05-27,30309.68
2026-05-28,30256.97
2026-05-29,30214.13
2026-06-01,30076.79
2026-06-02,30304.54
2026-06-03,30487.11
2026-06-04,30448.63
2026-06-05,29695.43
2026-06-08,29915.56
2026-06-09,29921.98
2026-06-10,29576.99
2026-06-11,30407.33
2026-06-12,30724.53
2026-06-15,30790.50
2026-06-16,30499.76
2026-06-17,30345.18
2026-06-18,30251.57
2026-06-22,30495.11
2026-06-23,30577.02
2026-06-24,30543.97
2026-06-25,30777.68
2026-06-29,30852.43
2026-06-30,30864.72
2026-07-01,30647.28
2026-07-02,30626.64
2026-07-06,30770.76
2026-07-07,30588.31
2026-07-08,30788.95
